"word","count"
"HillaryClinton",14998
"BernieSanders",12868
"https",9995
"the",4167
"for",2385
"you",1800
"FeelTheBern",1778
"DropOutHillary",1705
"amp",1682
"and",1622
"ImWithHer",1610
"SenSanders",1566
"…",1557
"Sanders",1555
"realDonaldTrump",1422
"are",1168
"that",1096
"Bernie",1053
"Trump",959
"not",932
"can",931
"has",873
"BernieOrBust",771
"will",771
"NeverHillary",758
"this",688
"what",672
"WorldForBernie",663
"Indiana",654
"tedcruz",654
"UniteBlue",649
"TheDemocrats",631
"win",627
"she",616
"StillSanders",607
"vote",598
"her",592
"DonaldTrump",590
"INPrimary",583
"DropOutBernie",579
"CAPrimary",563
"about",548
"Hillary",547
"HillaryPix",546
"won",545
"out",535
"with",527
"hillaryclinton",511
"WVPrimary",500
"politico",500
"The",495
"all",493
"IndianaPrimary",493
"would",479
"CrookedHillary",475
"supporters",475
"http…",469
"VoterSuppression",460
"berniesanders",428
"ht…",423
"FBI",412
"have",389
"who",389
"why",380
"against",379
"than",378
"more",377
"THE",377
"Hey",377
"wants",372
"Clinton",369
"ShesWithUs",369
"over",368
"like",367
"POTUS",367
"but",365
"primary",359
"CNN",352
"now",350
"they",343
"from",343
"MSNBC",343
"DWStweets",338
"your",328
"need",320
"What",317
"RELEASE",315
"TRANSCRIPTS",314
"https…",310
"realdonaldtrump",306
"still",299
"DNC",298
"money",295
"never",294
"get",294
"don",294
"hiding",287
"stop",271
"must",268
"his",267
"campaign",263
"should",258
"You",258
"winning",257
"c…",255
"says",253
"people",253
"just",250
"was",250
"chance",249
"HillYes",248
"NaphiSoc",245
"janeosanders",244
"Democrats",242
"JohnKasich",241
"support",239
"via",235
"swapapilots",230
"GOP",227
"BobbyTBD",225
"BernieSanderss4",224
"People4Bernie",224
"want",223
"only",223
"New",222
"say",221
"t…",221
"points",220
"gave",218
"FoxNews",217
"ahead",217
"one",217
"their",216
"how",216
"Dem",216
"candidate",214
"womancard",211
"NateSilver538",209
"JordanChariton",208
"poll",206
"been",206
"ppppolls",206
"GunnelsWarren",202
"HillNo",202
"West",202
"Virginia",200
"them",199
"needs",196
"because",195
"Why",195
"know",193
"yet",193
"Super",193
"She",190
"BernieVolunteer",189
"NBCNews",188
"does",187
"convention",184
"BREAKING",182
"changed",180
"h…",178
"Has",177
"see",174
"good",173
"NotWithHer",172
"HRC",172
"him",171
"time",169
"Bernie2016",169
"next",168
"right",167
"hit",167
"piece",167
"Vote",165
"This",165
"today",165
"when",165
"Atlanta",163
"going",162
"8uts…",161
"called",161
"Open",160
"way",160
"had",160
"much",157
"according",156
"rules",156
"HillaryTheHawk",156
"Lobbyist",155
"Skies",154
"agree",154
"let",154
"htt…",153
"voting",152
"think",152
"FeelTheMath",152
"co…",150
"last",150
"voters",150
"wrote",150
"yea",150
"foxnewspolitics",149
"million",149
"beat",149
"Mayor",148
"They",147
"Pac",147
"nationally",147
"doesn",146
"better",145
"leads",145
"being",145
"CWRMQsAflw",144
"UtxG4W3e00",143
"end",142
"votes",140
"And",140
"Conservative",139
"latest",139
"well",139
"Jane",138
"California",137
"even",137
"2016",136
"whatever",135
"said",133
"NOT",133
"back",132
"delegates",130
"GoogleTrends",129
"Twitter",128
"party",127
"real",125
"Should",125
"H8xZ8IFw3t",125
"When",125
"president",124
"interest",124
"Love",123
"new",123
"indianaprimary2016",123
"any",123
"SpeakerRyan",122
"corruption",122
"our",122
"How",122
"hours",120
"dont",120
"take",119
"search",119
"w6zmSJqf…",118
"did",118
"billclinton",116
"VanSulli",116
"CMAGAdFacts",116
"GeorgeTakei",114
"That",113
"Here",113
"gdebenedetti",113
"Dems",113
"lead",112
"trending",112
"NAI",112
"NYTnickc",111
"Lemon",111
"Trump2016",111
"WhichHillary",111
"Meringue",111
"Reince",111
"down",110
"Not",110
"keep",109
"newtgingrich",109
"towards",109
"states",109
"Trevor",108
"GerrishLisa",108
"epdR…",107
"TedCruz",107
"America",106
"camp",105
"Oklahoma",104
"agreements",104
"Final",104
"there",104
"tipping",103
"TravelingUS",103
"election",102
"these",102
"BlackLivesMatter",102
"race",101
"drop",101
"same",100
"make",100
"isn",100
"w…",100
"nomination",99
"try",99
"LaFauci",99
"days",98
"nominate",98
"Its",98
"NeverTrump",98
"DrJillStein",97
"free",97
"voted",97
"Concede",97
"making",96
"unifying",96
"Get",96
"woman",95
"fundraising",94
"politics",94
"help",94
"BlackTwitter",94
"accused",94
"love",93
"nonstop",93
"maddow",93
"American",93
"off",93
"polls",93
"Before",92
"ANGELES",92
"LOS",92
"— Here",92
"OVER",91
"trump",91
"Whether",91
"too",90
"talking",90
"really",90
"fair",89
"Obama",89
"4XlWYYlEjy",89
"candidates",89
"run",89
"Democratic",89
"Party",89
"care",88
"BarackObama",88
"meant",88
"President",87
"‘looting’",87
"NicholsUprising",87
"attack",86
"HunterHRC2016",86
"Where",86
"Reveals",85
"Findings",85
"aDbTu7eond",85
"NotMeUs",85
"Don",84
"big",84
"Shame",83
"please",82
"brianefallon",82
"between",81
"NOW",81
"registered",81
"Election2016",80
"SenWarren",80
"PoliticalAnt",80
"while",80
"left",79
"email",79
"running",78
"those",78
"jaketapper",78
"Stein",78
"some",77
"greater",77
"supporter",77
"trying",77
"using",77
"WallSt2MainSt",77
"tell",76
"lose",76
"ReleaseTheTranscripts",76
"😏",76
"stand",76
"Tell",75
"jobs",75
"hearts",75
"fighting",75
"ShaunKing",75
"Time",74
"feelthebern",74
"after",74
"Sam",74
"KNCqq8PRIL",74
"cspan",73
"THIS",73
"then",73
"here",73
"constituency",73
"Who",73
"TheYoungTurks",73
"Will",73
"evidence",72
"attacks",72
"YOU",72
"day",72
"qualified",72
"quit",71
"violence",71
"work",71
"Only",70
"lost",70
"Just",70
"superdelegates",70
"ppl",70
"Donald",69
"sanders",69
"USA",69
"Now",69
"But",69
"where",69
"VOTE",68
"both",68
"For",68
"already",68
"nominee",68
"into",66
"Dro…",66
"could",65
"Good",65
"country",65
"best",65
"thing",65
"Obamacare",65
"All",65
"playing",65
"hurting",65
"Michigan",65
"sign",64
"Early",64
"hope",64
"coal",64
"statements",64
"HFA",64
"guy",64
"Can",64
"words",64
"years",64
"WINS",64
"were",64
"Prediction",63
"sure",63
"show",63
"destroy",63
"Donors",63
"GAME",63
"tryna",63
"truthful",63
"ROFLMAO",63
"Her",63
"world",63
"CIVIL",62
"YouTube",62
"NoelinSD",62
"national",62
"Fee…",62
"Let",62
"DISOBEDIENCE",62
"competition",61
"saying",61
"paid",61
"fight",61
"Facts",61
"Top",61
"RWwatchMA",61
"under",61
"IFm…",61
"MUDUTU",60
"ericbradner",60
"many",60
"other",60
"Democrat",60
"gets",60
"NBCNightlyNews",60
"rights",60
"Republicans",60
"something",60
"Let’s",59
"give",59
"call",59
"4thepeople",59
"bannerite",59
"protect",59
"plan",58
"Deny",58
"Proud2Progress",58
"got",58
"000",58
"4Corporatism",58
"Poll",57
"DELEGATES",57
"enforced",57
"Hillary2016",57
"transcripts",57
"supporting",57
"metafizik",57
"democracy",57
"YES",57
"its",57
"wiunion",57
"maintain",57
"Convention",56
"most",56
"LEFT",56
"health",56
"point",56
"women",56
"xOZG5eF465",56
"SUPER",56
"believe",56
"endorse",56
"change",55
"PrimaryDay…",55
"again",55
"Yes",55
"losing",55
"NomikiKonst",55
"speaks",55
"NEVER",54
"VoterFraud",54
"mrmrsnever",54
"pay",54
"HIM",54
"DOT",54
"shut",53
"bernie",53
"level",53
"done",53
"Americans",53
"Also",53
"knows",53
"HillaryDropOut",53
"bad",53
"overwhelmingly",53
"choice",53
"NRCC",52
"CruzCrew",52
"news",52
"behind",52
"everyone",52
"field",52
"CNNPolitics",52
"TWO",52
"every",52
"another",52
"state",52
"defeat",52
"such",51
"JSavoly",51
"also",51
"explains",51
"SpecialReport",51
"Bad",51
"WENT",51
"TheLeadCNN",50
"Bernie2016tv",50
"tax",50
"man",50
"Are",50
"LOL…",50
"Your",50
"wins",50
"look",49
"finals",49
"HillaryPathologicalLiar",49
"tytlive",49
"trade",49
"Fifty1stState",49
"There",49
"general",49
"coming",49
"ideas",49
"TheHalliCJShow",49
"lesliermyers",48
"November",48
"rain",48
"less",48
"early",48
"ticket",48
"amount",48
"policy",48
"Cruz",48
"raising",47
"asked",47
"MANY",47
"hate",47
"looking",47
"trust",47
"Condemnation",47
"aren’t",47
"don’t",47
"Feel…",47
"doing",47
"investigation",47
"week…",47
"received",47
"Yep",47
"TERRORISTS‼️",47
"enforce",47
"release",47
"nothing",47
"ycUR8yPM2P",46
"GRForSanders",46
"public",46
"lies",46
"issues",46
"board",46
"talks",46
"Pro",46
"OUT",46
"Elections2016",46
"MMonk33",46
"wage",45
"poor",45
"BernieOrBUST",45
"CNNMoney",45
"Have",45
"before",45
"Bill",45
"put",45
"worst",45
"either",45
"primaries",44
"willing",44
"true",44
"Delegates",44
"2008",44
"fact",44
"TY0ElIL5Q8",44
"delegate",44
"underestimate",44
"AngrySenSanders",44
"ask",44
"rather",44
"corrupt",44
"Getty",44
"NewAlbany",43
"interview",43
"clear",43
"HillarySociopathicLiar",43
"speeches",43
"nightmare",43
"calling",43
"syphoned",43
"Thanks",43
"until",43
"DropoutHillary",43
"protesters",43
"HillarySoDesperate",42
"imwithher",42
"goes",42
"scandal",42
"continues",42
"democrats",42
"donaldtrump",42
"wrong",42
"RESJR",42
"Reign",42
"reason",42
"With",42
"winner",41
"Stop",41
"read",41
"minimum",41
"math",41
"Voters",41
"SDzzz",41
"burdentruth",41
"Please",40
"since",40
"hero",40
"LNYHBT",40
"perpetrated",40
"constituents",40
"SusanSarandon",40
"driver",40
"agrees",40
"makes",40
"progs",40
"Montgomery",40
"Out",40
"old",40
"foreign",40
"bjm",40
"JeffWeaver",40
"Wall",39
"Westxgal",39
"financial",39
"mean",39
"made",39
"democrat",39
"flip",39
"nytimes",39
"WillingToFight",39
"taking",39
"issue",39
"TB…",39
"rl0Y4V…",39
"far",39
"victory",39
"gonna",39
"CruzFiorina2016",39
"dropouthillary",39
"wife",39
"Email",39
"tcot",38
"stay",38
"fracking",38
"Enough",38
"mellberr",38
"More",38
"House",38
"ever",38
"aren",38
"truck",38
"college",38
"Fixer",38
"wouldn",38
"PVL95",38
"workers",38
"‼️😡",38
"per",38
"pledged",38
"which",38
"elected",38
"unite",38
"talk",37
"2YnBw4aP0V",37
"debate",37
"enough",37
"environmental",37
"protested",37
"extension",37
"afford",37
"2MammaDee",37
"first",37
"anyone",37
"viewers",37
"taxes",37
"tow",37
"buy",37
"Read",36
"part",36
"attacking",36
"join",36
"adami912",36
"home",36
"disclosure",36
"hear",36
"file",36
"come",36
"away",36
"Supporters",36
"backers",36
"black",36
"Standards",36
"Our",36
"Odd",36
"lie",36
"aefadul22",36
"ALL",36
"great",36
"polling",36
"JAMyerson",36
"White",36
"Remember",36
"getting",35
"violent",35
"move",35
"deejay90192",35
"didn",35
"criminal",35
"hillary",35
"anti",35
"video",35
"National",35
"exclusive",35
"always",35
"LOL",35
"🚫",35
"super",35
"SUPPORT",34
"WeAreBernie",34
"shouldn",34
"bumper",34
"problem",34
"HILLARY",34
"weighs",34
"stranded",34
"fellow",34
"sticker",34
"disabled",34
"count",33
"Real",33
"teachers4bernie",33
"Republican",33
"telling",33
"w5JGx4D5Ty",33
"BernieorBust",33
"socialist",33
"others",33
"case",33
"Investigation",33
"ORC",33
"Nov",33
"job",33
"4pm",33
"rally",33
"Senator",32
"speak",32
"team",32
"BernieStrong",32
"NETRetired",32
"Must",32
"FeeltheBern",32
"seems",32
"helena",32
"jfmCROvNV0",32
"include",32
"fraud",32
"elections",32
"IACaucus",32
"Independents",32
"peterdaou",32
"probe",32
"Women4Bernie",32
"MSM",32
"beats",32
"jennie",32
"Want",31
"very",31
"DemPrimary",31
"Support",31
"Disappointed",31
"sanderswinsbig",31
"understand",31
"life",31
"Keep",31
"anything",31
"AlisonSpalding2",31
"find",31
"abc7newsBayArea",31
"truth",31
"happen",31
"CharlieHackett8",31
"Corruption",31
"system",31
"stands",31
"progressive",31
"war",31
"use",31
"two",31
"power",31
"ovr",31
"Speech",31
"WATCH",30
"racist",30
"thru",30
"matter",30
"rest",30
"movement",30
"push",30
"tuition",30
"least",30
"intimidate",30
"liar",30
"clarkwilliams1",30
"HuffPo",30
"able",30
"giving",30
"dcfairbank",30
"media",30
"answers",30
"Yesterday",30
"Exclusive",30
"yes",30
"write",30
"may",30
"Ave",30
"lobbyist",30
"indicted",30
"reflection",30
"INprimary",30
"Campaign",29
"runs",29
"BERNIE",29
"seanhannity",29
"past",29
"close",29
"LivNow",29
"Socialist",29
"reminding",29
"Free",29
"else",29
"ORPrimary",29
"ArabsForBernie",29
"BeachPeanuts",29
"NYT",29
"God",29
"FEC",29
"ABC",29
"297",29
"person",29
"State",29
"FoxBusiness",29
"realize",29
"divided",28
"sick",28
"actually",28
"Candidate",28
"sensanders",28
"Hill…",28
"Carolde",28
"Dear",28
"lobbyists",28
"stupid",28
"forward",28
"SkywardFist",28
"GetMoneyOut",28
"STRONGER",28
"bashing",28
"faster",28
"NPR",28
"FOR",28
"JeanetteJing",28
"switch",28
"platform",28
"spent",27
"turn",27
"YardrepShortbus",27
"risk",27
"returns",27
"Prez",27
"Poor",27
"TheLead",27
"Over",27
"long",27
"cheat",27
"history",27
"hell",27
"hard",27
"Guam",27
"msnbc",27
"TRUMP",27
"College",27
"Warren",27
"though",27
"things",27
"own",27
"owe",27
"NRA",27
"no…",27
"Photo",27
"Berniesanders",27
"mitchellreports",26
"outside",26
"basically",26
"open",26
"abc7elex",26
"shows",26
"WhiteHouse",26
"thehill",26
"paladinette",26
"Hill",26
"denounce",26
"AnWm3…",26
"voter",26
"Kasich",26
"VABVOX",26
"policies",26
"heard",26
"bring",26
"themselves",26
"wonder",26
"rmiskimens",26
"difference",26
"lot",26
"Did",26
"Day",26
"BET",26
"WORDS",26
"lying",26
"performing",26
"committed",26
"PEOPLE",26
"Whats",26
"elizabethforma",26
"staff",26
"Never",25
"Take",25
"Libertea2012",25
"WendyWilliams",25
"fKFu7Rv8tP",25
"News",25
"donate",25
"favorite",25
"angry",25
"divergence",25
"evil",25
"Coal",25
"Acts",25
"TYTlive",25
"TheBriefing2016",25
"beyonce",25
"might",25
"EndCitizensUnited",25
"XWXmXL4PSQ",25
"MichaelLaRosaDC",25
"Terrorist",25
"ExitPollGate",25
"article",25
"DropOutClinton",25
"PICTURE",25
"Win",25
"WORTH",25
"thanks",25
"Latinos",25
"someone",25
"YOUR",25
"year",25
"verizonstrike",24
"225K",24
"hardball",24
"allow",24
"album",24
"feel",24
"thought",24
"Does",24
"tweet",24
"feminist",24
"Bern",24
"Drumpf",24
"rigged",24
"yep",24
"See",24
"One",24
"May",24
"con",24
"cnn",24
"Amy",24
"ads",24
"cannot",24
"worse",24
"🐦",24
"andsat",24
"reality",24
"mrLdavis",23
"tommiesunshine",23
"Thom",23
"KKennedy90016",23
"WayneEdH",23
"step",23
"liked",23
"M…",23
"JrMQrHsQVR",23
"sides",23
"GyLVYzMQhV",23
"HAVE",23
"hopes",23
"CarmenCruz303",23
"exit",23
"Both",23
"After",23
"Siskind",23
"FeelThe…",23
"presidency",23
"canativeobt",23
"hammer",23
"concede",23
"supported",23
"Brains4Bern",23
"6eLM0u5gkT",23
"Riots",23
"Right",23
"lol",23
"Had",23
"Revolution",23
"corporations",23
"whole",23
"white",23
"independent",23
"Independent",23
"different",22
"shit",22
"Says",22
"republican",22
"marian",22
"Berned",22
"biased",22
"nice",22
"mantra",22
"bernieorbust",22
"ATHEIST",22
"firing",22
"Vets4Bernie",22
"exactly",22
"followers",22
"sailor",22
"negative",22
"Even",22
"East",22
"establishment",22
"likely",22
"Street",22
"hypocrites",22
"together",22
"DumpTrump",22
"haven",22
"Pa1Lauren",22
"drunken",22
"wanted",22
"certain",22
"TheMeddler",22
"Those",22
"JaneSanders",22
"AFutureToBelieveIn",22
"thinks",22
"Maybe",22
"proud",22
"bramhall",22
"War",22
"Raw",22
"ChatRevolve",22
"fawfulfan",22
"agenda",22
"matters",22
"DrGianRico",22
"comment",22
"nevertrump",22
"Nominee",22
"Well",22
"Hartmann",21
"allowed",21
"Soros",21
"side",21
"samrocksc",21
"Award",21
"YourBullshit",21
"cenkuygur",21
"second",21
"nail",21
"Violent",21
"Mike",21
"BernIn2K16",21
"totally",21
"unpopular",21
"chris",21
"Jeff",21
"high",21
"guys",21
"FRIDAY",21
"PeterETyrrell",21
"face",21
"cause",21
"Academy",21
"nation",21
"Looking",21
"movie",21
"campaigns",21
"Supporter",21
"SpreadTheBern",21
"WakeUpAmerica",21
"apparently",21
"maybe",21
"working",21
"guess",21
"Congress",21
"Fox",21
"bid",21
"AND",21
"disgusting",21
"REALLY",21
"liberal",21
"Phone",21
"reasons",21
"emails",21
"helping",21
"remember",21
"jimmygriggsDFS",21
"coffin",21
"entire",20
"Saying",20
"Tricks",20
"allinwithchris",20
"sorry",20
"Leaders",20
"nhdogmom",20
"Claim",20
"Next",20
"Because",20
"Many",20
"remaining",20
"Lady",20
"donors",20
"liberals",20
"TrumpTrain",20
"jail",20
"idea",20
"hire",20
"SandersDropped",20
"Salon",20
"ElectoralFraud",20
"dems",20
"data",20
"Calls",20
"Bush",20
"popular",20
"focus",20
"JXEVIHaoNH",20
"lumpylouise",20
"abuse",20
"Primary",20
"endorsed",20
"AmericaRising",20
"honest",20
"without",20
"JA03221920",20
"Receiving",20
"Thank",20
"Dirty",20
"GlennHeiser",20
"aseitzwald",20
"”",20
"reminder",20
"Single",20
"AFT4Bernie",20
"BernPress",20
"clinging",20
"vie",20
"nom",20
"ImGay",20
"His",20
"END",20
"abt",20
"respect",20
"Green",20
"People",20
"g3Xz6Mx3Iw",20
"trolls",20
"HillarySoQualified",20
"protestors",20
"Residents",20
"HuffPostPol",20
"start",20
"thinking",20
"Loser",20
"wish",20
"WILL",20
"view",19
"numbers",19
"healthcare",19
"path",19
"DRJAMESCABOT",19
"NEED",19
"nana",19
"especially",19
"Cavalry",19
"head",19
"wolfblitzer",19
"fuck",19
"OneNominee",19
"mariaso1200",19
"integrity",19
"DanScavino",19
"become",19
"Amelika",19
"mizt1f",19
"around",19
"PCUnitedPage",19
"supports",19
"Media",19
"except",19
"everything",19
"unfair",19
"—",19
"takes",19
"WHY",19
"Law",19
"100",19
"WVForSanders",19
"important",19
"pjnet",19
"speech",19
"dropped",19
"😂",19
"💙",19
"unify",19
"pushing",19
"loses",19
"seen",18
"comes",18
"moving",18
"instead",18
"perfect",18
"QUESTION",18
"question",18
"Politico",18
"HIllaryClintonsupporters",18
"Most",18
"leave",18
"children",18
"Liberals",18
"child",18
"Nysteveo2AOLcom",18
"HillaryQuitRace",18
"sh4joy",18
"hasn",18
"presidential",18
"Jwwffv34Qy",18
"fans",18
"DonnaDiva",18
"copy",18
"Code",18
"Cali",18
"STRONG",18
"Casofdism",18
"month",18
"inners",18
"corporate",18
"toward",18
"handle",18
"PRIME69",18
"Weaver",18
"unlike",18
"BerniesBadEnd",18
"times",18
"warandpeace",18
"independents",18
"mankerlaw",18
"facts",18
"staatz",18
"NYC",18
"crooked",18
"KaraCalavera",18
"1st",18
"revolution",18
"Political",18
"Forced",18
"Compete",18
"CesarAFuentes",18
"democratic",18
"JusticeReformNow",18
"HeidiPrzybyla",18
"thepoliticalcat",18
"becomes",18
"Boston4Bernie",18
"republicans",18
"steal",18
"asking",18
"Loca2733Mc",18
"word",18
"chappell",17
"funding",17
"CBSNews",17
"nudging",17
"tahino1",17
"damage",17
"aside",17
"name",17
"Benghazi",17
"legal",17
"GiGicmka",17
"LOST",17
"Alicia3679",17
"PaulaPaulacamp",17
"politicians",17
"EmineDilek1113",17
"Iraq",17
"skorpyos",17
"HELL",17
"From",17
"NickyP2016",17
"each",17
"cares",17
"nikroybal",17
"whining",17
"NeverTrumpOrHillary",17
"DropOut…",17
"Explains",17
"ANYMORE",17
"deserve",17
"CapehartJ",17
"advising",17
"trash",17
"About",17
"Colorado",17
"approach",17
"Dictate",17
"NeverClinton",17
"DemocracyAwakens",17
"favor",17
"Terms",17
"mario",17
"single",17
"HouseDemocrats",17
"“Never”",17
"VirginiaInCal",17
"RIGHT",17
"Millions",17
"yrs",17
"few",17
"Polls",17
"ago",17
"keeps",17
"TImeForUnity…",17
"FascistMedia",17
"nofeeslender",17
"HillaryCli…",17
"political",17
"uSx95RejSy",17
"windowtothesoul",17
"Another",17
"Senate",17
"pWDn…",17
"stoop",17
"paying",17
"wall",16
"Wait",16
"stillsanders",16
"Very",16
"split",16
"told",16
"till",16
"TALK",16
"possible",16
"ft14051",16
"caprimary",16
"save",16
"ABCPolitics",16
"donations",16
"pick",16
"pays",16
"ONLY",16
"ones",16
"once",16
"KennysEyes",16
"accept",16
"SandersforNC",16
"MORE",16
"SOLUTIONS",16
"rqGqGvmWfz",16
"Lose",16
"line",16
"z5GG9hV…",16
"quotes",16
"FuckTheDNC",16
"seeks",16
"Jobs",16
"consultants",16
"hour",16
"Election",16
"option",16
"fund",16
"full",16
"a…",16
"landslide",16
"TrusTED",16
"cant",16
"now→",16
"bought",16
"SenateDems",16
"expect",16
"RBReich",16
"5njUFTdFtr",16
"These",16
"means",16
"Vaughn99",16
"7MMB6hCCmy",16
"reservation",16
"press",16
"46Fh0OvSC7",16
"SuperPAC",16
"CorruptHillary",16
"Carbon",16
"Ricky",16
"contested",16
"Wow",16
"Sen",16
"Neo",16
"men",16
"End",16
